filename,mean,std,bright_ratio,dark_ratio,predicted_sequence
50338780.1.103.dcm,40.67,55.8,0.0525,0.663,DWI
50338780.1.84.dcm,38.54,52.52,0.0419,0.6657,UNKNOWN
50009482.1.45.dcm,38.32,57.81,0.1372,0.689,DWI
50009482.1.65.dcm,41.05,63.93,0.146,0.6965,DWI
50009482.3.49.dcm,23.99,38.4,0.0293,0.7669,UNKNOWN
50009482.3.69.dcm,40.01,64.43,0.1663,0.6954,DWI
50009482.4.13.dcm,29.25,44.83,0.0525,0.6806,UNKNOWN
50009482.4.9.dcm,22.62,32.82,0.0077,0.7004,ADC
50035136.1.110.dcm,94.81,67.53,0.3365,0.2977,DWI
50035136.1.86.dcm,92.78,66.7,0.2606,0.2977,DWI
50427468.0.16.dcm,35.91,58.04,0.1662,0.7559,DWI
50427468.0.18.dcm,33.02,56.4,0.1521,0.7785,DWI
50427468.1.42.dcm,38.52,57.4,0.1209,0.6805,DWI
50427468.1.44.dcm,35.66,56.44,0.1151,0.71,DWI
50427468.2.11.dcm,31.53,52.56,0.0881,0.6723,DWI
50427468.2.8.dcm,35.93,56.47,0.0967,0.6387,DWI
50443217.1.13.dcm,85.52,56.79,0.2764,0.2146,DWI
50443217.1.30.dcm,59.1,40.56,0.0714,0.2146,UNKNOWN
50467107.2.14.dcm,18.23,29.7,0.0013,0.7761,ADC
50467107.2.16.dcm,22.99,37.32,0.0085,0.7493,ADC
50467107.2.19.dcm,18.93,33.1,0.0029,0.7848,ADC
50467107.3.18.dcm,33.1,46.94,0.0565,0.6283,DWI
50467107.3.19.dcm,28.51,43.5,0.0436,0.6837,UNKNOWN
50467107.3.21.dcm,32.23,54.12,0.1119,0.7206,DWI
50467107.4.0.dcm,27.05,41.31,0.0504,0.6539,UNKNOWN
50467107.4.13.dcm,36.15,50.16,0.0877,0.5915,DWI
50467107.4.6.dcm,32.86,43.71,0.0607,0.5762,UNKNOWN
50240502.1.33.dcm,96.77,57.21,0.2969,0.2197,DWI
50240502.1.42.dcm,86.3,51.4,0.2737,0.2197,DWI
50583216.2.42.dcm,38.49,63.35,0.1773,0.7202,DWI
50583216.3.34.dcm,26.4,43.38,0.0543,0.712,UNKNOWN
50583216.4.17.dcm,69.56,40.26,0.1405,0.0004,UNKNOWN
50581772.3.15.dcm,89.4,51.13,0.1011,0.2091,DWI
50581772.3.16.dcm,89.16,50.97,0.0977,0.2114,DWI
50353613.0.8.dcm,24.26,33.99,0.0114,0.76,UNKNOWN
50353613.3.8.dcm,37.69,48.85,0.0837,0.5924,DWI
50353613.5.8.dcm,31.1,47.93,0.0649,0.629,DWI
50265198.2.40.dcm,33.88,57.02,0.0683,0.7543,DWI
50265198.2.41.dcm,33.14,57.05,0.0691,0.7652,DWI
50265198.2.43.dcm,31.72,57.14,0.0711,0.7856,DWI
50080557.1.21.dcm,18.91,31.66,0.0215,0.8231,UNKNOWN
50080557.1.23.dcm,55.09,50.55,0.1358,0.2756,DWI
50080557.1.51.dcm,18.67,29.77,0.0148,0.7927,UNKNOWN
50080557.1.53.dcm,56.62,55.1,0.1696,0.3407,DWI
50080557.2.17.dcm,20.95,42.39,0.044,0.7639,UNKNOWN
50080557.2.7.dcm,19.32,42.67,0.049,0.8001,UNKNOWN
50195043.1.17.dcm,101.8,59.43,0.3965,0.2128,DWI
50195043.1.18.dcm,102.56,59.79,0.3997,0.2128,DWI
50195043.1.23.dcm,102.07,59.79,0.3993,0.2128,DWI
50478756.3.10.dcm,35.95,33.02,0.0135,0.6392,UNKNOWN
50478756.3.11.dcm,40.89,36.91,0.0208,0.6069,UNKNOWN
50478756.3.12.dcm,41.47,37.8,0.0206,0.6147,UNKNOWN
50478756.4.17.dcm,35.83,40.77,0.0376,0.5739,UNKNOWN
50478756.4.5.dcm,31.64,37.44,0.0344,0.6035,UNKNOWN
50478756.4.6.dcm,37.21,41.2,0.0402,0.5607,UNKNOWN
50478756.5.10.dcm,36.69,52.34,0.0837,0.5901,DWI
50478756.5.11.dcm,33.55,48.42,0.0631,0.5882,DWI
50478756.5.12.dcm,33.15,46.76,0.0613,0.5861,DWI
50229315.1.154.dcm,69.47,52.16,0.2191,0.3259,DWI
50229315.1.156.dcm,69.42,52.16,0.2175,0.3259,DWI
50229315.1.158.dcm,69.35,52.12,0.2156,0.3259,DWI
50229315.1.159.dcm,69.31,52.1,0.2144,0.3259,DWI
50229315.1.72.dcm,69.68,52.14,0.2228,0.3259,DWI
50229315.1.73.dcm,69.75,52.2,0.2246,0.3259,DWI
50342134.1.10.dcm,20.59,39.65,0.0537,0.8334,UNKNOWN
50342134.1.21.dcm,38.7,59.12,0.1793,0.7176,DWI
50342134.1.22.dcm,38.85,61.39,0.1955,0.732,DWI
50342134.1.23.dcm,34.96,57.84,0.1672,0.7519,DWI
50342134.3.10.dcm,24.47,32.9,0.0148,0.602,UNKNOWN
50342134.3.21.dcm,23.45,30.56,0.008,0.5838,ADC
50342134.3.22.dcm,24.65,32.67,0.0111,0.5883,UNKNOWN
50342134.3.23.dcm,26.47,36.0,0.0208,0.5963,UNKNOWN
50342134.2.10.dcm,34.38,40.9,0.0675,0.6586,UNKNOWN
50342134.2.21.dcm,44.6,53.29,0.1758,0.6383,DWI
50342134.2.22.dcm,47.64,57.93,0.2001,0.6254,DWI
50342134.2.23.dcm,46.64,57.83,0.1846,0.6274,DWI
50115224.2.35.dcm,86.0,58.27,0.3634,0.2146,DWI
50115224.2.37.dcm,85.94,58.37,0.3545,0.2146,DWI
50115224.2.39.dcm,85.86,58.51,0.3446,0.2146,DWI
50479238.0.31.dcm,32.79,31.98,0.011,0.7755,UNKNOWN
50479238.0.32.dcm,36.37,35.97,0.0249,0.7404,UNKNOWN
50479238.0.33.dcm,41.76,41.1,0.0445,0.7086,UNKNOWN
50479238.1.5.dcm,24.24,48.4,0.073,0.7438,DWI
50479238.1.6.dcm,28.74,52.3,0.0809,0.7061,DWI
50479238.1.7.dcm,27.49,46.1,0.0618,0.6791,DWI
50479238.3.5.dcm,51.1,62.26,0.2057,0.5801,DWI
50479238.3.6.dcm,54.35,62.46,0.2422,0.5602,DWI
50479238.3.7.dcm,58.28,63.39,0.2634,0.5395,DWI
50398818.0.23.dcm,34.74,52.29,0.0429,0.7037,UNKNOWN
50398818.0.24.dcm,34.23,52.05,0.0421,0.707,UNKNOWN
50398818.0.25.dcm,33.82,51.79,0.0408,0.7095,UNKNOWN
50398818.0.26.dcm,33.75,52.23,0.0416,0.7136,UNKNOWN
50398818.0.27.dcm,33.61,52.74,0.0437,0.7188,UNKNOWN
50524634.1.38.dcm,26.72,35.76,0.024,0.7196,UNKNOWN
50524634.1.39.dcm,28.94,40.56,0.0418,0.7235,UNKNOWN
50524634.1.40.dcm,26.43,37.92,0.0337,0.7371,UNKNOWN
50524634.1.41.dcm,24.41,34.67,0.0259,0.7376,UNKNOWN
50524634.1.42.dcm,25.2,35.99,0.0266,0.731,UNKNOWN
50524634.2.13.dcm,32.95,47.11,0.0599,0.5964,DWI
50524634.2.14.dcm,35.26,50.87,0.076,0.6006,DWI
50524634.2.15.dcm,34.99,52.03,0.0766,0.6097,DWI
50524634.2.16.dcm,31.4,46.95,0.0626,0.6291,DWI
50524634.2.17.dcm,28.15,43.02,0.0476,0.6494,UNKNOWN
50524634.3.13.dcm,31.63,41.42,0.0414,0.5822,UNKNOWN
50524634.3.14.dcm,30.57,41.63,0.0395,0.5993,UNKNOWN
50524634.3.15.dcm,29.61,40.76,0.0367,0.6143,UNKNOWN
50524634.3.16.dcm,26.83,36.82,0.0316,0.6201,UNKNOWN
50524634.3.17.dcm,26.37,35.44,0.027,0.6177,UNKNOWN
50292602.6.47.dcm,110.9,64.22,0.4172,0.2128,DWI
50292602.6.48.dcm,111.64,64.89,0.4228,0.2128,DWI
50292602.6.68.dcm,86.41,50.17,0.4094,0.2128,DWI
50311239.0.12.dcm,15.94,25.23,0.0018,0.7731,ADC
50311239.0.14.dcm,18.57,31.84,0.0059,0.7999,ADC
50311239.0.17.dcm,11.01,19.79,0.0016,0.8392,ADC
50311239.0.38.dcm,14.62,23.95,0.0017,0.7821,ADC
50311239.0.40.dcm,10.23,16.82,0.0005,0.8626,ADC
50311239.0.43.dcm,6.72,13.91,0.0021,0.9524,ADC
50311239.3.12.dcm,43.53,52.72,0.104,0.5514,DWI
50311239.3.14.dcm,37.8,48.85,0.0756,0.5827,DWI
50311239.3.17.dcm,44.83,55.26,0.1155,0.5412,DWI
50351414.0.39.dcm,48.72,61.79,0.0947,0.6194,DWI
50351414.0.40.dcm,47.64,62.12,0.0977,0.6325,DWI
50598269.0.21.dcm,21.15,33.5,0.0082,0.6675,ADC
50598269.0.22.dcm,24.89,41.17,0.0589,0.6825,UNKNOWN
50598269.0.23.dcm,20.84,36.3,0.0265,0.7111,UNKNOWN
50598269.1.21.dcm,30.76,52.53,0.1388,0.7664,DWI
50598269.1.22.dcm,24.71,44.9,0.1012,0.794,UNKNOWN
50598269.1.23.dcm,21.93,42.34,0.0826,0.8171,UNKNOWN
50598269.1.51.dcm,15.93,30.91,0.0158,0.7747,UNKNOWN
50598269.1.52.dcm,17.55,36.09,0.0426,0.7947,UNKNOWN
50598269.1.53.dcm,13.79,30.17,0.0186,0.8256,UNKNOWN
50070718.2.3.dcm,188.37,15.86,0.9999,0.0001,UNKNOWN
50070718.2.34.dcm,189.06,15.7,0.9999,0.0001,UNKNOWN
50070718.2.35.dcm,189.38,15.93,0.9999,0.0001,UNKNOWN
50070718.2.39.dcm,188.57,15.63,0.9999,0.0001,UNKNOWN
50070718.2.41.dcm,188.65,16.01,0.9999,0.0001,UNKNOWN
50077483.0.0.dcm,14.69,20.46,0.0044,0.7843,ADC
50077483.0.1.dcm,21.5,28.32,0.0086,0.7332,ADC
50077483.0.12.dcm,17.85,24.49,0.0083,0.7425,ADC
50077483.0.29.dcm,24.46,38.57,0.0404,0.7025,UNKNOWN
50077483.0.4.dcm,13.1,20.18,0.0076,0.8271,ADC
50077483.0.42.dcm,23.02,36.55,0.0362,0.7021,UNKNOWN
50077483.0.45.dcm,22.32,35.36,0.0319,0.7275,UNKNOWN
50077483.0.51.dcm,18.31,30.42,0.0237,0.7488,UNKNOWN
50077483.0.53.dcm,16.47,22.81,0.0062,0.7942,ADC
50077483.0.68.dcm,14.37,22.97,0.003,0.8171,ADC
50077483.2.12.dcm,30.49,47.21,0.059,0.6449,DWI
50077483.2.2.dcm,30.42,48.1,0.0627,0.6482,DWI
50077483.2.3.dcm,31.25,48.51,0.0624,0.6401,DWI
50077483.2.4.dcm,28.15,45.9,0.0556,0.6591,DWI
50077483.2.8.dcm,30.07,46.74,0.0576,0.6454,DWI
50534534.2.106.dcm,73.13,49.85,0.1982,0.2146,DWI
50534534.2.131.dcm,70.53,48.1,0.1667,0.2146,DWI
50534534.2.76.dcm,70.67,47.66,0.2025,0.2146,DWI
50323478.0.4.dcm,19.07,28.04,0.0058,0.7187,ADC
50323478.0.40.dcm,32.71,56.79,0.1057,0.7414,DWI
50323478.0.42.dcm,41.06,66.01,0.167,0.7335,DWI
50323478.0.5.dcm,33.34,46.87,0.0895,0.7305,DWI
50323478.0.8.dcm,34.98,49.65,0.0704,0.656,DWI
50323478.0.9.dcm,44.2,57.9,0.2114,0.6589,DWI
50323478.1.2.dcm,33.25,51.36,0.0663,0.6137,DWI
50323478.1.20.dcm,26.64,48.45,0.0746,0.7142,DWI
50323478.1.4.dcm,31.22,47.11,0.0605,0.6143,DWI
50222548.3.51.dcm,109.9,65.28,0.3647,0.2158,DWI
50222548.3.68.dcm,109.75,65.14,0.3698,0.2158,DWI
50222548.3.88.dcm,109.37,65.04,0.357,0.2158,DWI
50532918.1.101.dcm,22.06,33.63,0.0131,0.695,UNKNOWN
50532918.1.11.dcm,35.22,53.75,0.0888,0.6883,DWI
50532918.1.3.dcm,40.77,59.83,0.1996,0.6978,DWI
50532918.1.68.dcm,33.02,50.88,0.0772,0.6939,DWI
50532918.1.88.dcm,46.66,69.41,0.2235,0.6934,DWI
50532918.1.89.dcm,46.57,69.51,0.2231,0.6955,DWI
50532918.3.18.dcm,32.39,46.77,0.062,0.6063,DWI
50532918.3.49.dcm,33.69,47.62,0.0673,0.5995,DWI
50532918.3.6.dcm,33.16,46.82,0.0623,0.5975,DWI
50254600.1.112.dcm,38.54,56.41,0.0638,0.7047,DWI
50254600.1.137.dcm,39.33,56.81,0.0627,0.6959,DWI
50254600.1.145.dcm,38.7,56.3,0.0631,0.7018,DWI
50254600.1.167.dcm,39.7,56.67,0.0623,0.6931,DWI
50254600.1.200.dcm,37.98,55.92,0.0635,0.7077,DWI
50254600.1.26.dcm,39.04,56.44,0.0628,0.6987,DWI
50414099.0.18.dcm,18.91,40.91,0.0446,0.8138,UNKNOWN
50414099.0.21.dcm,22.15,42.94,0.0526,0.7759,UNKNOWN
50414099.1.0.dcm,15.7,28.13,0.0008,0.7971,ADC
50414099.1.22.dcm,13.31,26.42,0.0006,0.836,ADC
50414099.4.21.dcm,16.84,39.95,0.0475,0.8122,UNKNOWN
50414099.4.7.dcm,18.17,38.3,0.0403,0.7744,UNKNOWN
50428940.3.20.dcm,78.03,52.85,0.2804,0.2146,DWI
50428940.3.21.dcm,77.92,52.7,0.282,0.2146,DWI
50428940.3.27.dcm,79.02,54.0,0.2937,0.2146,DWI
50314296.1.10.dcm,11.08,14.88,0.0006,0.9045,ADC
50314296.1.11.dcm,28.99,23.71,0.0031,0.7198,ADC
50314296.1.38.dcm,22.86,30.0,0.0178,0.6918,UNKNOWN
50314296.1.39.dcm,48.15,36.93,0.0487,0.5826,UNKNOWN
50314296.2.19.dcm,24.5,38.45,0.0297,0.6374,UNKNOWN
50314296.2.5.dcm,25.8,40.87,0.0358,0.6474,UNKNOWN
50479508.1.15.dcm,59.14,61.22,0.0668,0.5143,DWI
50479508.1.7.dcm,51.66,69.44,0.2195,0.6437,DWI
50479508.1.8.dcm,54.07,68.15,0.1272,0.6145,DWI
50504176.2.18.dcm,26.7,47.97,0.0634,0.6963,DWI
50504176.2.6.dcm,31.98,48.76,0.073,0.5993,DWI
50504176.2.8.dcm,29.37,49.25,0.0734,0.6596,DWI
50504176.6.13.dcm,43.59,48.99,0.1119,0.6925,DWI
50504176.6.17.dcm,38.44,47.79,0.1243,0.7703,DWI
50504176.6.36.dcm,34.64,45.5,0.0917,0.8119,DWI
50504176.7.17.dcm,21.53,49.57,0.0807,0.804,DWI
50504176.7.6.dcm,29.03,49.75,0.0685,0.6686,DWI
50504176.7.8.dcm,24.84,51.09,0.0841,0.7575,DWI
50521425.0.23.dcm,25.03,28.89,0.0046,0.7618,ADC
50521425.0.36.dcm,28.15,31.9,0.0054,0.7484,ADC
50521425.0.38.dcm,27.39,30.62,0.0044,0.7432,ADC
50521425.0.8.dcm,23.77,27.26,0.003,0.762,ADC
50521425.2.0.dcm,37.95,57.73,0.107,0.6093,DWI
50521425.2.12.dcm,34.59,54.75,0.0909,0.6345,DWI
50521425.2.16.dcm,31.12,51.22,0.0813,0.6577,DWI
50521425.2.6.dcm,30.26,45.2,0.0524,0.6247,DWI
50521425.3.0.dcm,35.99,41.72,0.0369,0.582,UNKNOWN
50521425.3.10.dcm,39.17,40.86,0.0359,0.5192,UNKNOWN
50521425.3.4.dcm,36.18,41.53,0.0344,0.5749,UNKNOWN
50521425.3.9.dcm,33.71,39.24,0.0301,0.5928,UNKNOWN
50443746.1.35.dcm,52.05,56.46,0.0511,0.538,DWI
50443746.1.36.dcm,51.24,56.08,0.0478,0.5441,UNKNOWN
50443746.1.39.dcm,49.96,56.69,0.0506,0.5602,DWI
50000275.0.18.dcm,25.53,35.47,0.0153,0.5954,UNKNOWN
50000275.0.19.dcm,24.83,35.29,0.0182,0.6066,UNKNOWN
50000275.0.20.dcm,22.63,31.97,0.0036,0.6183,ADC
50000275.1.18.dcm,36.53,54.3,0.1704,0.7006,DWI
50000275.1.19.dcm,27.94,42.07,0.0253,0.723,UNKNOWN
50000275.1.20.dcm,37.19,55.9,0.1744,0.7106,DWI
50000275.1.49.dcm,22.61,37.85,0.0549,0.7028,UNKNOWN
50000275.1.50.dcm,17.35,29.96,0.0063,0.7358,ADC
50000275.1.51.dcm,19.4,33.2,0.0251,0.7197,UNKNOWN
50360637.0.31.dcm,48.67,58.17,0.0628,0.5965,DWI
50360637.0.33.dcm,48.03,58.41,0.0596,0.6031,DWI
50142698.0.12.dcm,37.45,48.53,0.0915,0.634,DWI
50142698.0.13.dcm,36.04,46.31,0.0747,0.6369,DWI
50142698.0.36.dcm,35.65,40.14,0.0497,0.692,UNKNOWN
50142698.0.37.dcm,39.16,45.51,0.0951,0.6928,DWI
50142698.1.12.dcm,35.5,55.81,0.1012,0.6359,DWI
50142698.1.13.dcm,36.48,56.87,0.1158,0.6338,DWI
50206931.1.10.dcm,50.33,57.29,0.0807,0.542,DWI
50206931.1.2.dcm,51.51,58.7,0.0648,0.5304,DWI
50206931.1.20.dcm,52.66,62.09,0.0821,0.5419,DWI
50206931.1.6.dcm,49.08,63.9,0.0955,0.5942,DWI
50327427.3.14.dcm,24.36,37.26,0.0089,0.7347,ADC
50327427.3.15.dcm,24.36,38.57,0.0135,0.7591,UNKNOWN
50327427.3.49.dcm,22.87,37.91,0.0219,0.7905,UNKNOWN
50327427.3.6.dcm,26.79,41.85,0.0192,0.757,UNKNOWN
50327427.4.0.dcm,27.8,37.2,0.015,0.6153,UNKNOWN
50327427.4.19.dcm,29.94,38.75,0.026,0.5748,UNKNOWN
50327427.4.23.dcm,28.93,37.61,0.0194,0.5863,UNKNOWN
50327427.4.4.dcm,28.51,38.55,0.0283,0.5821,UNKNOWN
50327427.5.0.dcm,32.41,44.99,0.032,0.6467,UNKNOWN
50327427.5.11.dcm,32.68,45.76,0.0405,0.6429,UNKNOWN
50327427.5.17.dcm,33.36,48.62,0.0479,0.6608,UNKNOWN
50327427.5.22.dcm,31.46,45.15,0.0388,0.6533,UNKNOWN
50126172.2.122.dcm,78.93,52.67,0.2066,0.2146,DWI
50126172.2.131.dcm,78.32,52.51,0.1938,0.2146,DWI
50378791.2.21.dcm,38.21,58.18,0.1865,0.7311,DWI
50378791.2.23.dcm,36.88,52.67,0.154,0.7052,DWI
50378791.2.44.dcm,32.54,52.04,0.078,0.729,DWI
50378791.2.6.dcm,31.24,47.6,0.069,0.7003,DWI
50378791.3.11.dcm,31.14,51.79,0.0775,0.6753,DWI
50378791.3.13.dcm,31.02,48.85,0.0695,0.6398,DWI
50472631.1.23.dcm,44.81,56.9,0.0597,0.6286,DWI
50472631.1.24.dcm,45.3,56.8,0.0584,0.6229,DWI
50472631.1.33.dcm,43.62,54.06,0.0476,0.6126,UNKNOWN
50159609.0.10.dcm,29.07,35.92,0.0279,0.7269,UNKNOWN
50159609.0.35.dcm,18.65,31.72,0.0104,0.7787,UNKNOWN
50159609.0.36.dcm,20.8,34.52,0.0221,0.751,UNKNOWN
50159609.0.8.dcm,31.36,40.74,0.0547,0.7293,UNKNOWN
50159609.0.9.dcm,28.75,36.41,0.0286,0.7239,UNKNOWN
50159609.1.10.dcm,32.18,56.78,0.102,0.6738,DWI
50159609.1.8.dcm,32.73,59.74,0.1077,0.7001,DWI
50159609.1.9.dcm,34.46,61.99,0.1115,0.6856,DWI
50561407.0.13.dcm,52.23,56.78,0.073,0.5426,DWI
50561407.0.14.dcm,52.19,56.68,0.0657,0.5442,DWI
50561407.0.15.dcm,52.02,56.58,0.0655,0.5461,DWI
50561407.0.16.dcm,33.96,36.73,0.0259,0.5492,UNKNOWN
50561407.0.18.dcm,55.29,60.23,0.0853,0.5406,DWI
50561407.0.19.dcm,55.35,60.38,0.0868,0.5411,DWI
50505686.2.2.dcm,31.6,48.69,0.0663,0.6886,DWI
50505686.2.3.dcm,23.14,33.88,0.0025,0.7296,ADC
50505686.2.42.dcm,12.12,21.52,0.0029,0.8077,ADC
50505686.2.43.dcm,20.83,35.82,0.0149,0.8073,UNKNOWN
50505686.2.44.dcm,16.35,28.71,0.0123,0.7762,UNKNOWN
50505686.2.45.dcm,19.82,33.84,0.0134,0.8056,UNKNOWN
50505686.2.46.dcm,27.21,43.29,0.0485,0.7254,UNKNOWN
50505686.2.47.dcm,24.99,39.66,0.0248,0.7639,UNKNOWN
50505686.3.10.dcm,85.11,33.27,0.1322,0.0005,UNKNOWN
